轮次,判别器损失,生成器损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
90,-24.738123717131437,-55.39510048760308,34.25986202852226,0.9521738331259033,81,27
91,-24.97239816924672,-54.72463508888527,34.64098438215844,0.9668586219166532,81,27
92,-24.879264878637997,-54.09726757473416,34.55539265385381,0.9676127621421108,81,27
93,-24.72651712394055,-54.73110156589084,34.037147239402486,0.9310630195670657,81,27
94,-24.92207618995949,-54.95153596666124,34.56895837666076,0.964688214071003,81,27
95,-24.67876860536175,-55.61853211014359,34.074447678930966,0.9395678930076552,81,27
96,-24.779272409132968,-55.208343788429545,34.373949686686196,0.9594677293006285,81,27
97,-25.35532287315086,-55.038841247558594,35.01967997609833,0.9664357113249508,81,27
98,-24.773315276628658,-54.41128850866247,34.393712455843705,0.962039719025294,81,27
99,-24.6484183911924,-54.61656951904297,34.19646256058304,0.9548044086974344,81,27
100,-25.463840625904226,-54.69689432779948,35.50380574921031,1.0039965109324749,81,27
101,-24.72812353534463,-55.331156412760414,34.382943659652895,0.9654820285461567,81,27
102,-24.52591151955687,-55.84645857634368,33.97554152688863,0.944962994551953,81,27
103,-24.815683553248277,-55.30604892306857,34.3980443507065,0.9582360773174851,81,27
104,-24.864489402300045,-54.904267911557795,34.55691994561089,0.9692430680180774,81,27
105,-24.760265397436825,-55.43738555908203,34.5989993531027,0.9838733952722432,81,27
106,-24.925954912915643,-55.03179776227033,34.607987957236205,0.9682033098774192,81,27
107,-24.70702639921212,-55.49397164803964,34.26928645004461,0.9562260140607386,81,27
108,-24.39838769700792,-55.823696277759694,33.76006218239113,0.9361674537261327,81,27
109,-24.60520647778923,-55.50341245863173,34.11320674566575,0.9508000189139519,81,27
110,-24.93303680419922,-55.75071899979203,34.6342305312922,0.9701193696186866,81,27
111,-24.641161718486266,-55.46646414862739,34.351143966486426,0.9709982378983203,81,27
112,-24.906987649423105,-55.16512213812934,34.857224782307945,0.9950237169309899,81,27
113,-24.80843120151096,-55.41480594211154,34.225007657651545,0.941657645098957,81,27
114,-24.647785045482493,-56.35511822170682,34.161344834315926,0.9513559757191458,81,27
115,-24.665035836490585,-56.385150061713325,34.31834929666402,0.9653313360464426,81,27
116,-24.504941163239657,-57.105264027913414,34.008852970452956,0.9503911645324142,81,27
117,-24.831739143089013,-56.755942591914426,34.588963638117285,0.9757224551321547,81,27
118,-24.95459243397654,-57.42254892985026,34.76519276183328,0.9810600335951205,81,27
119,-24.81276274316105,-58.0464806733308,34.43627538798768,0.962351256314619,81,27
120,-24.758296754625107,-57.99745884648076,34.53065099833924,0.9772354209864581,81,27
121,-25.17684319578571,-58.80559624565972,34.97026024335696,0.9793417026967178,81,27
122,-24.88013521830241,-58.456558792679395,34.836924658881294,0.9956789366257044,81,27
123,-24.109884132573633,-58.773645330358434,33.814429106535734,0.9704545015170251,81,27
124,-24.746668097413618,-58.27957464147497,34.44342511965905,0.9696757013415113,81,27
125,-24.97419100631902,-58.18342237119322,34.864831806700906,0.9890640808476342,81,27
126,-24.379538383012935,-58.21386958934642,34.227125426869335,0.9847587199858677,81,27
127,-24.716884377561968,-58.099474589029946,34.333936008406276,0.961705168824137,81,27
128,-24.714648211443865,-59.397393968370224,34.50543222309631,0.9790783999142824,81,27
129,-25.070791880289715,-58.89549806382921,34.812833856653285,0.9742042069081907,81,27
130,-24.83456512733742,-58.99033059014214,34.775143611578294,0.994057849969393,81,27
131,-24.627449365309726,-59.13077078925239,34.49368417998891,0.9866234877227266,81,27
132,-24.50535284442666,-59.60677069204825,34.294207066665464,0.9788854265654529,81,27
133,-24.509061177571613,-59.0591672261556,34.12427209924768,0.9615210872373463,81,27
134,-24.438355928585853,-58.626798417833115,34.256702894045986,0.9818346975026307,81,27
135,-24.558305269406166,-59.530874746817126,34.20903038684233,0.965072516673877,81,27
136,-24.427778126280984,-59.46940330222801,34.02053074777862,0.9592752681102281,81,27
137,-24.558234297199014,-60.23941266095197,34.15693862349899,0.9598704370451562,81,27
